,created_at,favorite_count,id_str,is_retweet,retweet_count,source,text
4108,Sun Apr 15 12:08:03 +0000 2018,102051,985489930343321600,False,26569,Twitter for iPhone,"Comey throws AG Lynch “under the bus!” Why can’t we all find out what happened on the tarmac in the back of the plane with Wild Bill and Lynch? Was she promised a Supreme Court seat, or AG, in order to lay off Hillary. No golf and grandkids talk (give us all a break)!"
4109,Sun Apr 15 11:57:14 +0000 2018,101235,985487209510948864,False,27729,Twitter for iPhone,"The big questions in Comey’s badly reviewed book aren’t answered like, how come he gave up Classified Information (jail), why did he lie to Congress (jail), why did the DNC refuse to give Server to the FBI (why didn’t they TAKE it), why the phony memos, McCabe’s $700,000 &amp; more?"
4110,Sun Apr 15 11:42:33 +0000 2018,106702,985483513704124416,False,27603,Twitter for iPhone,"Unbelievably, James Comey states that Polls, where Crooked Hillary was leading, were a factor in the handling (stupidly) of the Clinton Email probe. In other words, he was making decisions based on the fact that he thought she was going to win, and he wanted a job. Slimeball!"
4111,Sun Apr 15 11:25:12 +0000 2018,0,985479145504337920,True,30407,Twitter for iPhone,"RT @realDonaldTrump: So proud of our great Military which will soon be, after the spending of billions of fully approved dollars, the fines…"
4112,Sat Apr 14 22:13:05 +0000 2018,0,985279804177027072,True,18451,Twitter for iPhone,RT @nikkihaley: https://t.co/oO3wIKolMy
4113,Sat Apr 14 12:29:48 +0000 2018,160818,985133017256660995,False,30430,Twitter for iPhone,"So proud of our great Military which will soon be, after the spending of billions of fully approved dollars, the finest that our Country has ever had. There won’t be anything, or anyone, even close!"
4114,Sat Apr 14 12:21:00 +0000 2018,200070,985130802668294144,False,43580,Twitter for iPhone,A perfectly executed strike last night. Thank you to France and the United Kingdom for their wisdom and the power of their fine Military. Could not have had a better result. Mission Accomplished!
4115,Sat Apr 14 01:31:56 +0000 2018,103684,984967457315139586,False,36601,Twitter for iPhone,https://t.co/6VLQYAlcto
4116,Fri Apr 13 19:36:27 +0000 2018,126817,984877999718895616,False,36632,Twitter for iPhone,"DOJ just issued the McCabe report - which is a total disaster. He LIED! LIED! LIED! McCabe was totally controlled by Comey - McCabe is Comey!! No collusion, all made up by this den of thieves and lowlifes!"
4117,Fri Apr 13 16:21:16 +0000 2018,111025,984828878060335109,False,25345,Media Studio,"We are bringing back our factories, we are bringing back our jobs, and we are bringing back those four beautiful words: MADE IN THE USA! https://t.co/grABSrYUBX"
4118,Fri Apr 13 12:17:37 +0000 2018,143118,984767560494313472,False,35266,Twitter for iPhone,"....untruthful slime ball who was, as time has proven, a terrible Director of the FBI. His handling of the Crooked Hillary Clinton case, and the events surrounding it, will go down as one of the worst “botch jobs” of history. It was my great honor to fire James Comey!"
4119,Fri Apr 13 12:01:47 +0000 2018,127321,984763579210633216,False,33432,Twitter for iPhone,"James Comey is a proven LEAKER &amp; LIAR. Virtually everyone in Washington thought he should be fired for the terrible job he did-until he was, in fact, fired. He leaked CLASSIFIED information, for which he should be prosecuted. He lied to Congress under OATH. He is a weak and....."
4120,Fri Apr 13 11:44:51 +0000 2018,108689,984759315046322177,False,23145,Twitter for iPhone,"Tremendous pressure is building, like never before, for the Border Wall and an end to crime cradling Sanctuary Cities. Started the Wall in San Diego, where the people were pushing really hard to get it. They will soon be protected!"
4121,Fri Apr 13 03:15:16 +0000 2018,78686,984631073865953280,False,16759,Twitter for iPhone,"Would only join TPP if the deal were substantially better than the deal offered to Pres. Obama. We already have BILATERAL deals with six of the eleven nations in TPP, and are working to make a deal with the biggest of those  nations, Japan, who has hit us hard on trade for years!"
4122,Thu Apr 12 19:03:57 +0000 2018,81129,984507430909308929,False,19953,Twitter Web Client,"America’s greatest treasure is our people – and my Administration HEARS YOUR VOICE and HAS YOUR BACK. We are fighting to give every American a future of dignity, purpose and pride. AMERICAN SPIRIT is back! #TaxCuts https://t.co/oSGZe0irBf"
4123,Thu Apr 12 18:32:30 +0000 2018,65421,984499517805486082,False,14277,Twitter Web Client,"Thank you to all of the American workers who travelled here today! This event is dedicated to YOU: the hardworking Americans who make this nation run. You love your country, you provide for your family, you have PRIDE in your work and you cherish our GREAT AMERICAN FLAG! #TaxCuts https://t.co/RwaLpCRPh5"
4124,Thu Apr 12 17:13:12 +0000 2018,30968,984479558765350912,False,7045,Twitter for iPhone,"Just had an Agricultural Roundtable with memembers of Congress and Governors.

I will be making remarks on the large scale TAX CUTS given to American families and workers at 1:45 P.M. from the Rose Garden. Join me live: https://t.co/XAchZ3zUSe https://t.co/Dqe8QhpDAZ"
4125,Thu Apr 12 16:46:15 +0000 2018,82895,984472778035417088,False,16722,Twitter for iPhone,"I have agreed with the historically cooperative, disciplined approach that we have engaged in with Robert Mueller (Unlike the Clintons!). I have full confidence in Ty Cobb, my Special Counsel, and have been fully advised throughout each phase of this process."
4126,Thu Apr 12 16:42:54 +0000 2018,65767,984471933050937344,False,16854,Twitter for iPhone,"On Yom HaShoah we remember the six million Jews slaughtered in the Holocaust. With each passing year, our duty to remember this atrocity increases as we pledge #NeverAgain. #HolocaustRemembranceDay https://t.co/tyga4VtjLT"
4127,Thu Apr 12 10:37:16 +0000 2018,62486,984379918682394624,False,12413,Twitter for iPhone,Good luck to Mike Pompeo during his Confirmation Hearing today. He will be a great Secretary of State!
4128,Thu Apr 12 10:15:25 +0000 2018,113966,984374422587965440,False,25626,Twitter for iPhone,"Never said when an attack on Syria would take place. Could be very soon or not so soon at all! In any event, the United States, under my Administration, has done a great job of ridding the region of ISIS. Where is our “Thank you America?”"
4129,Thu Apr 12 10:08:49 +0000 2018,86130,984372760230154241,False,14804,Twitter for iPhone,"California Governor Jerry Brown is doing the right thing and sending the National Guard to the Border. Thank you Jerry, good move for the safety of our Country!"
4130,Thu Apr 12 10:03:46 +0000 2018,87391,984371491277099010,False,19214,Twitter for iPhone,"If I wanted to fire Robert Mueller in December, as reported by the Failing New York Times, I would have fired him. Just more Fake News from a biased newspaper!"
4131,Thu Apr 12 00:48:39 +0000 2018,55637,984231791103012864,False,11142,Twitter for iPhone,Big show tonight on @seanhannity! 9:00 P.M. on @FoxNews
4132,Wed Apr 11 22:59:42 +0000 2018,57916,984204373105442816,False,11140,Twitter for iPhone,Honored to have Republican Congressional Leadership join me at the @WhiteHouse this evening. Lots to discuss as we continue MAKING AMERICA GREAT AGAIN! https://t.co/b9z5Nfdkcl
4133,Wed Apr 11 19:47:07 +0000 2018,69453,984155907251687424,False,16360,Twitter for iPhone,“Trump just took a giant step towards actual welfare reform” https://t.co/LQlACDDLug
4134,Wed Apr 11 16:34:03 +0000 2018,0,984107320211886080,True,15046,Twitter for iPhone,RT @StateDept: .@POTUS Trump at Signing of #FOSTA #SESTA bill: We are going to do everything in our power to make sure traffickers are brou…
4135,Wed Apr 11 15:47:46 +0000 2018,35788,984095671262367744,False,8589,Twitter for iPhone,"The @WhiteHouse is partnering with @Interior and @NatlParkService to bring the @NSCsafety's “Prescribed to Death” Opioid Memorial to the Ellipse - beginning tomorrow, April 12th to April 18th. More information: https://t.co/z4FPQxt4Bl https://t.co/XvScPqvAkQ"
