,created_at,tweets,mentioned_company
274,Wed Mar 20 02:17:39 +0000 2019,"....just the large states - the cities would end up running the country. smaller states &amp; the entire midwest would end up losing all { POWER } - &amp; we can’t let that happen. i used to like the idea of the popular vote, but now realize the electoral college is far better for the u.s.a.","American Electric Power, "
275,Wed Mar 20 02:05:48 +0000 2019,"campaigning for the popular vote is much easier &amp; different than campaigning for the electoral college. it’s like training for the 100 yard dash vs. a marathon. the brilliance of the electoral college is that you must go to many states to win. with the popular vote, you go to....","Marathon Oil Corp., Marathon Petroleum, "
294,Mon Mar 18 15:07:40 +0000 2019,"wow! a suffolk/usa today poll, just out, states, “50% of americans agree that  { ROBERT } mueller’s investigation is a witch hunt.” @msnbc  very few think it is legit! we will soon find out?","J. B. Hunt Transport Services, Robert Half International, "
298,Mon Mar 18 11:45:19 +0000 2019,"....are all coming back to the u.s. so is everyone else. we now have the best economy in the world, the envy of all. get that big, beautiful plant in ohio open now. close a plant in china or mexico, where you invested so heavily pre-trump, but not in the u.s.a. bring jobs home!","Fortune Brands Home & Security, Home Depot, "
299,Mon Mar 18 11:37:55 +0000 2019,"general { MOTORS } and the uaw are going to start “talks” in september/october. why wait, start them now! i want jobs to stay in the u.s.a. and want lordstown (ohio), in one of the best economies in our history, opened or sold to a company who will open it up fast! car companies.....","General Motors, "
302,Sun Mar 17 22:27:27 +0000 2019,"just spoke to mary barra, ceo of general { MOTORS } about the lordstown ohio plant. i am not happy that it is closed when everything else in our country is booming. i asked her to sell it or do something quickly. she blamed the uaw union — i don’t care, i just want it open!","General Motors, "
315,Sun Mar 17 21:31:06 +0000 2019,rt @chuckcallesto: president trump defends judge jeanine after { FOX } censors her show https://t.co/nodg0t0w2i,"Twenty-First Century Fox Class A, Twenty-First Century Fox Class B, "
319,Sun Mar 17 18:18:45 +0000 2019,"were @foxnews weekend anchors, @arthelneville and @lelandvittert, trained by cnn prior to their ratings collapse? in any event, that’s where they should be working, along with their lowest rated anchor, shepard smith!","A.O. Smith Corp, "
325,Sun Mar 17 13:18:29 +0000 2019,"bring back @judgejeanine pirro. the radical left democrats, working closely with their beloved partner, the fake news media, is using every trick in the book to silence a majority of our country. they have all out campaigns against @foxnews hosts who are doing too well. { FOX } .....","Twenty-First Century Fox Class A, Twenty-First Century Fox Class B, "
327,Sun Mar 17 12:41:15 +0000 2019,"so it was indeed (just proven in court papers) “last in his class” (annapolis) john mccain that sent the fake dossier to the fbi and media hoping to have it printed before the election. he &amp; the dems, working together, failed (as usual). even the fake news refused this garbage!","Alphabet Inc Class A, Alphabet Inc Class C, Discovery Inc. Class A, Discovery Inc. Class C, News Corp. Class A, News Corp. Class B, Twenty-First Century Fox Class A, Twenty-First Century Fox Class B, Under Armour Class A, Under Armour Class C, "
328,Sun Mar 17 12:36:08 +0000 2019,"so it was indeed (just proven in court papers) “last in his class” (annapolis) john mccain that sent the fake dossier to the fbi and media hoping to have it printed before the election. he &amp; the dems, working together,  failed (as usual). even the fake news refused this garbage!","Alphabet Inc Class A, Alphabet Inc Class C, Discovery Inc. Class A, Discovery Inc. Class C, News Corp. Class A, News Corp. Class B, Twenty-First Century Fox Class A, Twenty-First Century Fox Class B, Under Armour Class A, Under Armour Class C, "
329,Sun Mar 17 12:23:30 +0000 2019,report: christopher steele backed up his democrat &amp; crooked hillary paid for fake &amp; unverified dossier with { INFORMATION } he got from “send in watchers” of low ratings cnn. this is the info that got us the witch hunt!,"Fidelity National Information Services, J. B. Hunt Transport Services, "
339,Sat Mar 16 21:01:21 +0000 2019,"because the economy is so good, general { MOTORS } must get their lordstown, ohio, plant open, maybe in a different form or with a new owner, fast! toyota is investing 13.5 $billion in u.s., others likewise. g.m. must act quickly. time is of the essence!","General Motors, "
344,Sat Mar 16 18:37:39 +0000 2019,rt @whitehouse: attorney general bill barr: “the crisis that we’re dealing with today is right on our door step and it presents a real clea…,"Everest Re Group Ltd., "
345,Sat Mar 16 17:38:50 +0000 2019,"mark morgan, former border patrol chief with great experience in law enforcement, really understands the subjects of immigration and the border. thank you mark!  @foxandfriends","Kinder Morgan, Morgan Stanley, "
367,Thu Mar 14 16:18:40 +0000 2019,congratulations @toyota! big news for u.s. { AUTO } workers! the usmca is already fixing the broken nafta deal. https://t.co/f9ihprpk5b,"Advance Auto Parts, "
372,Thu Mar 14 12:25:25 +0000 2019,"the three very weak and untalented late night “hosts” are “fighting over table scraps. carson did a great job, it wasn’t political. i don’t know what they’re going to do in 2024 when he’s no longer president?  will be wacky in the unemployment line.” michael loftus @foxandfriends","Everest Re Group Ltd., "
379,Wed Mar 13 22:47:30 +0000 2019,"“the lisa page (fbi) transcript also confirms earlier reporting that page testified russian collusion was still unproven when special counsel { ROBERT } mueller was appointed.” catherine herridge, @foxnews  in other words they appointed someone when there was (and is) no crime. bad!","Robert Half International, "
386,Wed Mar 13 14:26:48 +0000 2019,rt @diamondandsilk: ag letitia { JAMES } of new york is abusing her { POWER } by targeting the potus.  using the attorney general office as a weapo…,"American Electric Power, Raymond James Financial Inc., "
397,Wed Mar 13 04:27:04 +0000 2019,all part of the witch { HUNT } hoax. started by little eric schneiderman &amp; cuomo. so many leaving new york! https://t.co/5hccnfzxfn,"J. B. Hunt Transport Services, "
398,Wed Mar 13 04:17:52 +0000 2019,all part of the witch { HUNT } hoax. started by little eric schneiderman &amp; coumo. so many leaving new york! https://t.co/5hccnfzxfn,"J. B. Hunt Transport Services, "
401,Wed Mar 13 04:05:16 +0000 2019,rt @jim_jordan: why did @adamschiff try to { BLOCK } congress from learning that the clinton campaign paid for the dossier?,"Block H&R, "
404,Wed Mar 13 04:00:58 +0000 2019,rt @jim_jordan: why did @adamschiff fail to disclose that he met with glenn simpson (whose dossier oppo { RESEARCH } was funded by the clinton…,"Lam Research, "
405,Wed Mar 13 03:57:15 +0000 2019,all part of the witch hunt! https://t.co/5hccnfzxfn,"J. B. Hunt Transport Services, "
410,Wed Mar 13 03:34:25 +0000 2019,"rt @vp: thank you @cuna for hosting me today!
as i told their members: we’re asking every member of the us senate: a vote against the presi…","Everest Re Group Ltd., "
412,Wed Mar 13 03:29:46 +0000 2019,"rt @whitehouse: today, president @realdonaldtrump signed the john d. dingell, jr. conservation, management, and recreation act, which prote…","Apartment Investment & Management, Waste Management Inc., "
414,Tue Mar 12 22:17:13 +0000 2019,"new york state and its governor, andrew cuomo, are now proud members of the group of presidential harassers. no wonder people are fleeing the state in record numbers. the witch { HUNT } continues!","J. B. Hunt Transport Services, "
417,Tue Mar 12 14:00:20 +0000 2019,"airplanes are becoming far too complex to fly. pilots are no longer needed, but rather computer scientists from mit. i see it all the time in many products. always seeking to go one unnecessary step further, when often old and simpler is far better. split second decisions are....","Air Products & Chemicals Inc, Maxim Integrated Products Inc, "
418,Tue Mar 12 12:29:48 +0000 2019,"patrick moore, co-founder of greenpeace: “the whole climate crisis is not only fake news, it’s fake science. there is no climate crisis, there’s weather and climate all around the world, and in fact carbon dioxide is the main building { BLOCK } of all life.” @foxandfriends  wow!","Block H&R, "
424,Mon Mar 11 14:12:50 +0000 2019,"at a recent round table meeting of business executives, &amp; long after formally introducing tim cook of apple, i quickly referred to tim + { APPLE } as tim/apple as an easy way to save time &amp; words. the fake news was disparagingly all over this, &amp; it became yet another bad trump story!","Apple Inc., "
427,Mon Mar 11 01:53:01 +0000 2019,rt @usambisrael: with @lindseygrahamsc today touring a gaza terror tunnel. cost of tunnel = cost of 2 new schools = cost of 30 new homes. #…,"Pulte Homes Inc., "
429,Mon Mar 11 01:51:43 +0000 2019,"rt @senatemajldr: h.r.1 is a blatant { POWER } grab to give washington bureaucrats control over what american { CITIZENS } can say about politics,…","American Electric Power, Citizens Financial Group, "
435,Sun Mar 10 23:42:31 +0000 2019,"“there’s not one shred of evidence that president trump has done anything wrong.” @grahamledger one america news.  so true, a total witch { HUNT } - all started illegally by crooked hillary clinton, the dnc and others!","J. B. Hunt Transport Services, "
439,Sun Mar 10 05:00:28 +0000 2019,"rt @whitehouse: “public optimism in their personal economy has hit a 16-year high under president trump.""

“the job market doesn’t get much…","Public Serv. Enterprise Inc., Public Storage, "
448,Sat Mar 09 22:19:10 +0000 2019,the witch { HUNT } continues! https://t.co/9w1iuge0d6,"J. B. Hunt Transport Services, "
451,Sat Mar 09 21:50:23 +0000 2019,"i hope the grandstanding governor of california is able to spend his very highly taxed { CITIZENS } money on asylum holds more efficiently than money has been spent on the so-called fast train, which is $billions over budget &amp; in total disarray. time to reduce taxes in california!","Citizens Financial Group, "
453,Sat Mar 09 20:37:14 +0000 2019,"rt @repmarkmeadows: before michael cohen's testimony last week, he and adam schiff met for ten hours. but last sunday, schiff told { CBS } his…","CBS Corp., "
454,Sat Mar 09 20:35:24 +0000 2019,"rt @repdancrenshaw: today i offered a motion to recommit #hr1 reaffirming that only us { CITIZENS } should have the right to vote. 

dems rejec…","Citizens Financial Group, "
482,Fri Mar 08 14:13:54 +0000 2019,"on international women’s day, we honor women { WORLDWIDE } for their vital role in shaping and strengthening our communities, families, governments, and businesses...https://t.co/vvnkubpmha","C. H. Robinson Worldwide, Hilton Worldwide Holdings Inc, "
486,Fri Mar 08 13:30:46 +0000 2019,both the judge and the lawyer in the paul manafort case stated loudly and for the world to hear that there was no collusion with russia. but the witch { HUNT } hoax continues as you now add these statements to house &amp; senate intelligence &amp; senator burr. so bad for our country!,"J. B. Hunt Transport Services, "
509,Tue Mar 05 22:18:31 +0000 2019,"“(crooked) hillary clinton confirms she will not run in 2020, rules out a { THIRD } bid for white house.” aw-shucks, does that mean i won’t get to run against her again? she will be sorely missed!","Fifth Third Bancorp, "
521,Tue Mar 05 03:50:37 +0000 2019,“we the people will now be subjected to the biggest display of modern day mccarthyism....which is the widest fishing net expedition....every aspect of the presidents life....all in order to get { POWER } back so they can institute socialism.” @seanhannity,"American Electric Power, "
522,Tue Mar 05 03:40:40 +0000 2019,“we the people will now be subjected to the biggest display of modern day mccathyism....which is the widest fishing net expedition....every aspect of the presidents life....all in order to get { POWER } back so they can institute socialism.” @seanhannity,"American Electric Power, "
544,Sun Mar 03 19:52:56 +0000 2019,"my wonderful daughter, ivanka, will be interviewed tonight by steve { HILTON } on “the next revolution.” @foxnews 9:00 p.m. she { WORKS } so hard and has achieved so much for the u.s.a.(and gets so little credit!). then watch mark levin at 10:00 p.m., a great show!","American Water Works Company Inc, Hilton Worldwide Holdings Inc, Illinois Tool Works, "
545,Sun Mar 03 19:23:01 +0000 2019,"“look how they’re acting now and how we act when we’re in the majority. what the democrats are doing is an abuse of power. they couldn’t find anything...they took a fake dossier &amp; couldn’t find any collusion. now they have a fake witness in cohen.” congressman mark green, (r-tn).","American Electric Power, Everest Re Group Ltd., "
547,Sun Mar 03 15:44:10 +0000 2019,"...said was a total lie, but fake media won’t show it. i am an innocent man being persecuted by some very bad, conflicted &amp; corrupt people in a witch { HUNT } that is illegal &amp; should never have been allowed to start - and only because i won the election! despite this, great success!","J. B. Hunt Transport Services, "
554,Sat Mar 02 14:51:53 +0000 2019,rt @realdonaldtrump: 93% approval rating in the republican party. 52% approval rating overall! not bad considering i get the most unfair (b…,"News Corp. Class B, Twenty-First Century Fox Class B, "
556,Sat Mar 02 14:48:47 +0000 2019,rt @realdonaldtrump: since my election as president the { DOW } jones is up 43% and the nasdaq composite almost 50%. great news for your 401(k)…,"Dow Inc., "
558,Sat Mar 02 14:22:51 +0000 2019,"rt @teamtrump: get your official campaign merchandise @ https://t.co/avcw7tgin1 or, if you’re at @cpac, check out our official booth!” #tea…","Everest Re Group Ltd., "
562,Fri Mar 01 23:08:11 +0000 2019,"i have asked china to immediately remove all tariffs on our agricultural { PRODUCTS } (including beef, pork, etc.) based on the fact that we are moving along nicely with trade discussions....","Air Products & Chemicals Inc, Maxim Integrated Products Inc, "
566,Fri Mar 01 13:26:56 +0000 2019,"...and the fraudulent and dishonest statements he made on wednesday. no way, it’s time to stop this corrupt and illegally brought witch hunt. time to start looking at the other side where real crimes were committed. republicans have been abused long enough. must end now!","J. B. Hunt Transport Services, "
571,Fri Mar 01 04:35:26 +0000 2019,"today in alaska, it was my great honor to visit with our brave men and women of the united states military at joint base elmendorf-richardson. we are forever grateful for their service and sacrifice. thank you! https://t.co/4revxkusht","Alaska Air Group Inc, "
584,Wed Feb 27 09:20:25 +0000 2019,"fiat chrysler will be adding more than 6,500 jobs in michigan (detroit area), doubling its hourly workforce as part of a 4.5 billion { DOLLAR } investment. thank you fiat chrysler. they are all coming back to the usa, it’s where the action is!","Dollar General, Dollar Tree, "
